Vilket år startade första världskriget?,1912,1914,1916,2
Vem var Sveriges kung under andra världskriget?,Gustaf V,Gustaf VI Adolf,Carl XVI Gustaf,1
Vilken stad var huvudstad i Romarriket?,Aten,Alexandria,Rom,3
Vilket århundrade levde vikingarna?,600-talet till 1000-talet,800-talet till 1100-talet,1000-talet till 1300-talet,2
Vem upptäckte Amerika?,Christofer Columbus,Leif Eriksson,Amerigo Vespucci,1
Vilket år föll Berlinmuren?,1987,1989,1991,2
Vem var Sveriges första kvinnliga statsminister?,Anna Lindh,Mona Sahlin,Magdalena Andersson,3
Vilket år grundades FN?,1943,1945,1947,2
Vad hette Sveriges kung som dog vid Lützen?,Karl X Gustav,Karl XI,Karl XII,3
Vilket år blev Sverige medlem i EU?,1993,1995,1997,2
